id,tweetText,tweetURL,type,tweetAuthor,handle,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1589274913034342400,@ChadMeyer_ @SatoshiFlipper &lt;3,https://x.com/SBF_FTX/status/1589274913034342400,tweet,SBF,@SBF_FTX,10,0,0,11,-,0,2022-11-06 20:44:01,,
1589274353585520642,"@ChadMeyer_ @SatoshiFlipper idk -- I'd love to find a way to do it!  I'm seeing what we can do, but really no promises there.  (NOT INVESTMENT ADVICE, NOT LEGAL ADVICE)",https://x.com/SBF_FTX/status/1589274353585520642,tweet,SBF,@SBF_FTX,4,0,0,7,-,0,2022-11-06 20:41:47,,
1589272767740121090,"@SatoshiFlipper well timed

[NOT FINANCIAL ADVICE]",https://x.com/SBF_FTX/status/1589272767740121090,tweet,SBF,@SBF_FTX,108,70,48,674,-,3,2022-11-06 20:35:29,,
1589035234347343873,@SOLanaBets07 oh yeah I'm totes happy to pay $8 for it tbh I'm confused why people are making such a big deal of the change,https://x.com/SBF_FTX/status/1589035234347343873,tweet,SBF,@SBF_FTX,13,2,1,31,-,1,2022-11-06 04:51:37,,
1589035067216605184,@AutismCapital ok,https://x.com/SBF_FTX/status/1589035067216605184,tweet,SBF,@SBF_FTX,15,0,1,109,-,1,2022-11-06 04:50:57,,
1589034570275782658,"BTW on the blue check marks:

so far the discourse has centered around them as vanity, but remember that for people in finance, they help weed out scammers posing as someone else

also this post is gonna get a lot of scammer spam isn't it",https://x.com/SBF_FTX/status/1589034570275782658,tweet,SBF,@SBF_FTX,415,108,70,1480,-,19,2022-11-06 04:48:59,,
1589004664359440385,@koreanjewcrypto https://t.co/ZeuKjzP36Y,https://x.com/SBF_FTX/status/1589004664359440385,tweet,SBF,@SBF_FTX,14,2,6,75,-,2,2022-11-06 02:50:08,https://pbs.twimg.com/media/Fg1HTl3XwAAAVph.png,
1588991578940780544,"@keaton @GreenPartyUS re: green party --

would love to see approval voting; then it's fine to vote 3rd party without giving up your influence on D vs R!",https://x.com/SBF_FTX/status/1588991578940780544,tweet,SBF,@SBF_FTX,6,0,2,29,-,0,2022-11-06 01:58:09,,
1588968221281222656,"@gavinmclelland FWIW I think that the much bigger worry is dual-use research

some if it is *wildly* dangerous",https://x.com/SBF_FTX/status/1588968221281222656,tweet,SBF,@SBF_FTX,7,1,2,13,-,0,2022-11-06 00:25:20,,
1588965169324904448,"5) (As an aside: when I talk about pandemic prevention, I really do mean *prevention*.

We should be working to stop the next pandemic *before* it happens, not imposing restrictive mandates for this one.)",https://x.com/SBF_FTX/status/1588965169324904448,tweet,SBF,@SBF_FTX,63,11,11,295,-,0,2022-11-06 00:13:12,,
